country,id,parent_agency_id,name,abbreviation,alternate_name,alternate_abbreviation,english_name,english_abbreviation,url,wikipedia_url,wikidata_id,begin_year,end_year,former_agency_id,remarks
AF,0,,د کابل پوهنتون,,پوهنتون کابل,,Kabul University,KU,https://www.ku.edu.af,https://en.wikipedia.org/wiki/Kabul_University,Q1354097,,,,
AF,1,0,د ځمکپوهنې پوهنځي,,پوهنځی زمین شناسی,,Faculty of Geoscience,,https://ku.edu.af/ps/%D8%AF-%DA%81%D9%85%DA%A9%D9%BE%D9%88%D9%87%D9%86%DB%90-%D9%BE%D9%88%D9%87%D9%86%DA%81%D9%8A,,,,,,
AF,2,1,د هایدرو متیورولوژي ډيپارټمنټ,,دیپارتمنت‌هایدرو متیورولوژی,,Department of Hydrometeorology,,https://ku.edu.af/ps/%D8%AF-%D9%87%D8%A7%DB%8C%D8%AF%D8%B1%D9%88-%D9%85%D8%AA%DB%8C%D9%88%D8%B1%D9%88%D9%84%D9%88%DA%98%D9%8A-%DA%89%D9%8A%D9%BE%D8%A7%D8%B1%D9%BC%D9%85%D9%86%D9%BC-%D8%AF-%D9%87%D9%88%D8%A7-%D9%BE%DB%90%DA%98%D9%86%D8%AF%D9%86%DB%90-%DA%89%D9%8A%D9%BE%D8%A7%D8%B1%D9%BC%D9%85%D9%86%D9%BC,,,,,,
AR,3,,Consejo Nacional de Investigaciones Científicas y Técnicas,CONICET,,,National Scientific and Technical Research Council,,https://www.conicet.gov.ar,https://en.wikipedia.org/wiki/National_Scientific_and_Technical_Research_Council,Q6978293,,,,
AR,4,3,"Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales",IANIGLA,,,"Argentine Institute for Snow Research, Glaciology and Environmental Sciences",,https://ianigla.conicet.gov.ar/,,Q119727217,,,,
AR,5,3,Centro Austral de Investigaciones Científicas,CADIC,,,,,https://cadic.conicet.gov.ar/,https://es.wikipedia.org/wiki/Centro_Austral_de_Investigaciones_Cient%C3%ADficas,Q5761046,,,,
AR,6,,Consultoría & Gestión Integral de Montaña,CGM,,,,,,,,,,,
AR,7,,Glaciarium,,,,,,https://glaciarium.com/,https://en.wikipedia.org/wiki/Glaciarium_(museum),Q5566113,,,,
AR,8,,Gobierno de Tierra del Fuego,,,,,,https://www.tierradelfuego.gob.ar/,,Q123588313,,,,
AR,9,8,Dirección General de Recursos Hídricos,,,,,,https://prodyambiente.tierradelfuego.gob.ar/direccion-general-de-recursos-hidricos/,,,,,,
AR,10,,Instituto Antártico Argentino,IAA,,,Argentine Antarctic Institute,,https://www.cancilleria.gob.ar/es/iniciativas/dna/instituto-antartico-argentino,https://en.wikipedia.org/wiki/Instituto_Ant%C3%A1rtico_Argentino,Q980703,,,,
AR,11,10,Departamento de Glaciología,,,,,,,,,,,,
AR,12,,Universidad Nacional de Cuyo,UNCuyo,,,National University of Cuyo,,https://www.uncuyo.edu.ar/,https://en.wikipedia.org/wiki/National_University_of_Cuyo,Q1076209,,,,
AR,13,12,Facultad de Ciencias Agrarias,FCA,,,Faculty of Agricultural Sciences,,https://fca.uncuyo.edu.ar/,,,,,,
AR,14,,Universidad Nacional de Córdoba,UNC,,,National University of Córdoba,,https://www.unc.edu.ar/,https://en.wikipedia.org/wiki/National_University_of_C%C3%B3rdoba,Q1570489,,,,
AR,15,14,"Facultad de Ciencias Exactas, Físicas y Naturales",FCEFyN,,,,,https://fcefyn.unc.edu.ar/,"https://es.wikipedia.org/wiki/Facultad_de_Ciencias_Exactas,_F%C3%ADsicas_y_Naturales_(Universidad_Nacional_de_C%C3%B3rdoba)",Q5854665,,,,
AR,16,,Universidad Nacional de San Juan,UNSJ,,,National University of San Juan,,http://www.unsj.edu.ar,https://en.wikipedia.org/wiki/National_University_of_San_Juan,Q934439,,,,
AR,17,,Universidad Tecnológica Nacional,UTN,,,National Technological University,,https://www.utn.edu.ar/,https://en.wikipedia.org/wiki/National_Technological_University,Q3232206,,,,
AR,18,17,Facultad Regional Buenos Aires,BA,,,,,https://www.frba.utn.edu.ar/,https://en.wikipedia.org/wiki/National_Technological_University_%E2%80%93_Buenos_Aires_Regional_Faculty,Q6978865,,,,
AR,19,,Universidad Nacional de Tierra del Fuego,UNTDF,,,National University of Tierra del Fuego,,http://www.untdf.edu.ar/,https://en.wikipedia.org/wiki/National_University_of_Tierra_del_Fuego,Q5390556,,,,
AR,20,19,"Instituto de Ciencias Polares, Ambiente y Recursos Naturales",ICPA,,,,,https://www.untdf.edu.ar/institutos/icpa,,,,,,
AT,26,,Bundesamt für Eich- und Vermessungswesen,BEV,,,Federal Office of Metrology and Surveying,,https://www.bev.gv.at,https://en.wikipedia.org/wiki/Federal_Office_of_Metrology_and_Surveying_(Austria),Q23177,,,,
AT,27,,Energie AG,,,,,,https://www.energieag.at,https://de.wikipedia.org/wiki/Energie_AG_Ober%C3%B6sterreich,Q1231542,,,,
AT,28,,Land Oberösterreich,,,,State of Upper Austria,,https://www.land-oberoesterreich.gv.at/,,,,,,
AT,29,,Land Tirol,,Amt der Tiroler Landesregierung,,State of Tyrol,,https://www.tirol.gv.at,,,,,,
AT,30,29,Abteilung Geoinformation,,,,,,https://www.tirol.gv.at/sicherheit/geoinformation/,,,,,,
AT,31,554,Hydrographischer Dienst,,,,Hydrographic Service,,https://www.tirol.gv.at/umwelt/wasserwirtschaft/wasserkreislauf/hydrographie/,,,,,,
AT,32,29,tiris,,,,,,https://www.tirol.gv.at/statistik-budget/tiris/tiris-organisation/,,,,,,
AT,33,,Österreichische Akademie der Wissenschaften,ÖAW,,,Austrian Academy of Sciences,,https://www.oeaw.ac.at/,https://en.wikipedia.org/wiki/Austrian_Academy_of_Sciences,Q299015,,,,
AT,34,33,Institut für interdisziplinäre Gebirgsforschung,IGF,,,Institute for Interdisciplinary Mountain Research,,https://www.oeaw.ac.at/igf/,https://de.wikipedia.org/wiki/Institut_f%C3%BCr_Interdisziplin%C3%A4re_Gebirgsforschung,Q1661959,,,,
AT,35,33,Kommission für Geophysikalische Forschungen,,,,,,,,,1952,1991,,
AT,37,,Zentralanstalt für Meteorologie und Geodynamik,ZAMG,,,Central Institute for Meteorology and Geodynamics,,https://www.zamg.ac.at/,https://en.wikipedia.org/wiki/Central_Institution_for_Meteorology_and_Geodynamics,Q190033,1851,2022,,
AT,38,,GeoSphere Austria,,,,,,https://geosphere.at,https://de.wikipedia.org/wiki/GeoSphere_Austria,Q116189368,2023,,37,
AT,39,,Land Salzburg,,Amt der Salzburger Landesregierung,,State of Salzburg,,https://www.salzburg.gv.at/,,,,,,
AT,40,39,Hydrographischer Dienst,,,,Hydrographic Service,,https://www.salzburg.gv.at/dienststellen/abteilungen/207/20704,,,,,,
AT,41,,Österreichischer Alpenverein,ÖAV,,,Austrian Alpine Club,,https://www.alpenverein.at/,https://en.wikipedia.org/wiki/Austrian_Alpine_Club,Q306055,,,,
AT,42,41,Gletschermessdienst,,,,,,https://www.alpenverein.at/portal/museum-archiv/gletschermessdienst/index.php,https://de.wikipedia.org/wiki/Gletschermessdienst,Q31836433,,,,
AT,43,,Universität Graz,UniGraz,,,University of Graz,,https://www.uni-graz.at/,https://en.wikipedia.org/wiki/University_of_Graz,Q622683,,,,
AT,44,43,Institut für Geographie und Raumforschung,,,,Institute of Geography and Regional Science,,https://geographie.uni-graz.at/,,,,,,
AT,45,,Universität Innsbruck,UIBK,,,University of Innsbruck,,https://www.uibk.ac.at/,https://en.wikipedia.org/wiki/University_of_Innsbruck,Q875788,,,,
AT,46,45,Institut für Geographie,,,,Department of Geography,,https://www.uibk.ac.at/geographie/,,Q107549006,,,,
AT,47,45,Institut für Atmosphären- und Kryosphärenwissenschaften,ACINN,,,Department of Atmospheric and Cryospheric Sciences,,https://www.uibk.ac.at/acinn,,Q107548962,,,48,
AT,48,45,Institut für Meteorologie und Geophysik,IMGI,,,Department of Meteorology and Geophysics,,,,,,,,
AT,49,,Universität Salzburg,PLUS,,,,,https://www.plus.ac.at/,https://en.wikipedia.org/wiki/University_of_Salzburg,Q27265,,,,
AT,50,49,Fachbereich Geographie und Geologie,,,,Department of Geography and Geology,,,,,,2022,,
AT,51,49,Fachbereich Geoinformatik,Z_GIS,,,Department of Geoinformatics,,https://www.plus.ac.at/geoinformatik/,,,,,,
AT,52,,Nationalpark Hohe Tauern,,,,High Tauern National Park,,https://hohetauern.at/,https://en.wikipedia.org/wiki/Hohe_Tauern_National_Park,Q696014,,,,
AT,554,29,Abteilung Wasserwirtschaft,,,,,,https://www.tirol.gv.at/umwelt/wasserwirtschaft/,,,,,,
AT,568,,Blue Sky Wetteranalysen,,,,,,https://www.blueskywetter.com/,,,,,,
AU,54,,Australian Antarctic Division,AAD,,,,,http://antarctica.gov.au/,https://en.wikipedia.org/wiki/Australian_Antarctic_Division,Q781331,,,,
AU,55,,Antarctic Climate and Ecosystems Cooperative Research Centre,ACE CRC,,,,,https://wwwace.aappartnership.org.au/,,Q30253727,1991,2019,,
BE,56,,Vrije Universiteit Brussel,VUB,,,Free University of Brussels,,https://www.vub.be/,https://en.wikipedia.org/wiki/Vrije_Universiteit_Brussel,Q612665,,,,
BO,57,,Universidad Mayor de San Andrés,UMSA,,,Higher University of San Andrés,,https://www.umsa.bo/,https://en.wikipedia.org/wiki/Higher_University_of_San_Andr%C3%A9s,Q3290454,,,,
