country,glacier_name,glacier_id,change_id,lower_elevation,upper_elevation,area,elevation_change,elevation_change_unc,volume_change,volume_change_unc,remarks
AR,MARTIAL,917,745,780,800,,,,,,
AR,MARTIAL,917,745,800,900,,,,,,
AR,MARTIAL,917,745,900,1000,,,,,,
AR,MARTIAL,917,745,1000,1100,,,,,,
AR,MARTIAL,917,745,1100,1170,,,,,,
AR,MARTIAL,917,747,790,800,,,,,,
AR,MARTIAL,917,747,800,900,,,,,,
AR,MARTIAL,917,747,900,1000,,,,,,
AR,MARTIAL,917,747,1000,1100,,,,,,
AR,MARTIAL,917,747,1100,1170,,,,,,
AR,MARTIAL ESTE,2000,1034,850,900,,,,,,
AR,MARTIAL ESTE,2000,1034,900,1000,,,,,,
AR,MARTIAL ESTE,2000,1034,1000,1100,,,,,,
AR,MARTIAL ESTE,2000,1034,1100,1170,,,,,,
AR,MARTIAL ESTE,2000,1035,870,900,,,,,,
AR,MARTIAL ESTE,2000,1035,900,1000,,,,,,
AR,MARTIAL ESTE,2000,1035,1000,1100,,,,,,
AR,MARTIAL ESTE,2000,1035,1100,1170,,,,,,
AR,MARTIAL ESTE,2000,1037,950,1000,,,,,,
AR,MARTIAL ESTE,2000,1037,1000,1100,,,,,,
AR,MARTIAL ESTE,2000,1037,1100,1170,,,,,,
AR,MARTIAL ESTE,2000,1039,950,1000,,,,,,
AR,MARTIAL ESTE,2000,1039,1000,1100,,,,,,
AR,MARTIAL ESTE,2000,1039,1100,1170,,,,,,
AT,FURTSCHAGL K.,585,560,2550,2600,198,0,4.2,-1000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,2600,2650,8460,-8.995,4.2,-62000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,2650,2700,46836,-10.808,4.2,-426000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,2700,2750,62730,-10.863,4.2,-677000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,2750,2800,88146,-9.308,4.2,-812000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,2800,2850,104112,-5.606,4.2,-581000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,2850,2900,110772,-3.86,4.2,-422000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,2900,2950,106758,-4.477,4.2,-475000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,2950,3000,84564,-3.824,4.2,-318000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,3000,3050,81450,-2.932,4.2,-237000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,3050,3100,71316,-1.579,4.2,-109000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,3100,3150,50850,-2.524,4.2,-124000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,3150,3200,31716,-2.755,4.2,-87000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,3200,3250,15264,-3.935,4.2,-59000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,3250,3300,13248,-2.916,4.2,-37000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,3300,3350,16236,-4.013,4.2,-59000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,3350,3400,24732,-3.495,4.2,-82000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,3400,3450,19998,0.465,4.2,9000,1550,area: Calculated from submitted end area - area change / 2
AT,FURTSCHAGL K.,585,560,3450,3500,1476,1.121,4.2,2000,1550,area: Calculated from submitted end area - area change / 2
AT,GEPATSCH F.,522,3052,1900,2000,,-51,,,,
AT,GEPATSCH F.,522,3052,2000,2100,,-38,,,,
AT,GEPATSCH F.,522,3052,2100,2200,,-17,,,,
AT,GEPATSCH F.,522,3052,2200,2300,,-7,,,,
AT,GEPATSCH F.,522,3052,2300,2400,,-3,,,,
AT,GEPATSCH F.,522,3053,1900,2000,,-28.6,,,,
AT,GEPATSCH F.,522,3053,2000,2100,,-23.4,,,,
AT,GEPATSCH F.,522,3053,2100,2200,,-20.8,,,,
AT,GEPATSCH F.,522,3053,2200,2300,,-7.8,,,,
