country,glacier_name,glacier_id,outline_id,year,time_system,begin_date,begin_date_unc,midseason_date,midseason_date_unc,end_date,end_date_unc,winter_balance,winter_balance_unc,summer_balance,summer_balance_unc,annual_balance,annual_balance_unc,ela_position,ela,ela_unc,aar,area,investigators,agencies,references,remarks
AF,PIR YAKH,10452,,2018,,,,,,,,,,,,,,,,,,,Abeer Ahmad Sajood (2) | Arian Hedayatullah (2),2. Kabul University > Faculty of Geoscience > Department of Hydrometeorology,,Index point measurements only.
AQ,ALBERICH,1062,,1972,other,1971-02-06,0.0,,,1972-01-18,0.0,0,,0.01,,0.02,,,,,0.67,1360000,,,"[data from] Dyurgerov, M. (2002) | [based on] IAHS (ICSI)-UNESCO, 1977: Fluctuations of Glaciers (FOG) 1970-1975, Vol. III. Zürich: Compiled for the Permanent Service on the Fluctuations of Glaciers of the IUGG-FAGS/ICSU by Müller, F. Paris: 269 pp. [3]",
AQ,ALBERICH,1062,,1973,other,1972-01-18,0.0,,,1973-01-22,0.0,0,,0.03,,0.03,,,,,0.75,1360000,,,"[data from] Dyurgerov, M. (2002) | [based on] IAHS (ICSI)-UNESCO, 1977: Fluctuations of Glaciers (FOG) 1970-1975, Vol. III. Zürich: Compiled for the Permanent Service on the Fluctuations of Glaciers of the IUGG-FAGS/ICSU by Müller, F. Paris: 269 pp. [3]",
AQ,ALBERICH,1062,,1974,other,1973-01-22,0.0,,,1974-01-22,0.0,-0.01,,0,,-0.02,,,,,0.35,1360000,,,"[data from] Dyurgerov, M. (2002) | [based on] IAHS (ICSI)-UNESCO, 1977: Fluctuations of Glaciers (FOG) 1970-1975, Vol. III. Zürich: Compiled for the Permanent Service on the Fluctuations of Glaciers of the IUGG-FAGS/ICSU by Müller, F. Paris: 269 pp. [3]",
AQ,ALBERICH,1062,,1975,other,1974-01-22,0.0,,,1975-01-10,0.0,0.01,,0,,0.01,,,,,0.6,1360000,,,"[data from] Dyurgerov, M. (2002) | [based on] IAHS (ICSI)-UNESCO, 1977: Fluctuations of Glaciers (FOG) 1970-1975, Vol. III. Zürich: Compiled for the Permanent Service on the Fluctuations of Glaciers of the IUGG-FAGS/ICSU by Müller, F. Paris: 269 pp. [3]",
AQ,ANVERS I ICE CAP,3954,,1966,,,,,,,,,,,,0.044,,,,,,,,,"[Data from] Cogley (2008, updated 2013) | [based on] Rundle (1970); International Association of Scientific Hydrology Publications, 86, 377-390 p",Multi-annual observation (87 mm w.e.) evenly distributed to corresponding years.
AQ,ANVERS I ICE CAP,3954,,1967,,,,,,,,,,,,0.044,,,,,,,,,"[Data from] Cogley (2008, updated 2013) | [based on] Rundle (1970); International Association of Scientific Hydrology Publications, 86, 377-390 p",Multi-annual observation (87 mm w.e.) evenly distributed to corresponding years.
AQ,BAHIA DEL DIABLO,2665,,2000,combined,1999-03-01,0.0,,,2000-02-28,0.0,,,,,-0.57,0.03,on,427,,0.34,12900000,Pedro Skvarca (11) | Hernán De Angelis (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -560 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2001,combined,2000-03-01,0.0,,,2001-02-28,0.0,,,,,-0.06,0.03,on,375,,0.52,12900000,Pedro Skvarca (11) | Hernán De Angelis (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -60 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2002,combined,2001-03-01,0.0,,,2002-02-28,0.0,,,,,-0.56,0.03,on,438,,0.33,12900000,Pedro Skvarca (11) | Hernán De Angelis (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -510 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2003,combined,2002-03-01,0.0,,,2003-02-28,0.0,,,,,-0.18,0.03,on,389,,0.43,12900000,Pedro Skvarca (11) | Hernán De Angelis (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -150 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2004,combined,2003-03-01,0.0,,,2004-02-28,0.0,,,,,-0.12,0.03,on,386,,0.48,12900000,Pedro Skvarca (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -110 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2005,combined,2004-03-01,0.0,,,2005-02-28,0.0,,,,,-0.14,0.03,on,405,,0.49,12900000,Pedro Skvarca (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -230 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2006,combined,2005-03-01,0.0,,,2006-02-28,0.0,,,,,-0.45,0.03,on,431,,0.35,12900000,Pedro Skvarca (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -580 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2007,combined,2006-03-01,0.0,,,2007-02-28,0.0,,,,,-0.14,0.03,on,360,,0.53,12900000,Pedro Skvarca (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -80 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2008,combined,2007-03-01,0.0,,,2008-02-28,0.0,,,,,-0.44,0.03,on,435,10,0.37,12900000,Pedro Skvarca (11) | Evgeniy Ermolin (11) | Sebastián Marinsek (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -530 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2009,combined,2008-03-01,0.0,,,2009-02-28,0.0,,,,,-0.33,0.03,on,388,10,0.42,12900000,Pedro Skvarca (11) | Evgeniy Ermolin (11) | Sebastián Marinsek (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -255 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2010,combined,2009-03-01,0.0,,,2010-02-28,0.0,,,,,0.37,0.03,below,75,10,1,12900000,Pedro Skvarca (10) | Evgeniy Ermolin (10) | Sebastián Marinsek (10),10. Argentine Antarctic Institute,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; 370 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2011,combined,2010-03-01,0.0,,,2011-02-28,0.0,,,,,0.02,0.03,on,322,10,0.62,12900000,Pedro Skvarca (10) | Evgeniy Ermolin (10) | Sebastián Marinsek (10),10. Argentine Antarctic Institute,,"Series has been revised according to new glacier area (Marinsek, 2013) | Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; 60 mm w.e."
AQ,BAHIA DEL DIABLO,2665,,2012,combined,2011-03-01,0.0,,,2012-02-28,0.0,,,,,-0.02,0.03,on,370,10,0.52,12900000,Sebastián Marinsek (11),11. Argentine Antarctic Institute > Departamento de Glaciología,WGMS (2015): GGCB No. 1 (2012-2013),
AQ,BAHIA DEL DIABLO,2665,,2013,combined,2012-03-01,0.0,,,2013-02-28,0.0,,,,,0.1,0.03,on,295,10,0.58,12900000,Pedro Skvarca (11) | Evgeniy Ermolin (11) | Sebastián Marinsek (11) | José Luis Seco (11),11. Argentine Antarctic Institute > Departamento de Glaciología,WGMS (2015): GGCB No. 1 (2012-2013),
AQ,BAHIA DEL DIABLO,2665,,2014,combined,2013-03-01,0.0,,,2014-02-28,0.0,,,,,0.19,0.01,on,325,10,0.62,12900000,Sebastián Marinsek (11) | Evgeniy Ermolin (11) | José Luis Seco (11),11. Argentine Antarctic Institute > Departamento de Glaciología,WGMS (2017): GGCB No. 2 (2014-2015),
AQ,BAHIA DEL DIABLO,2665,,2015,combined,2014-03-01,0.0,,,2015-02-28,0.0,,,,,0.025,0.03,on,380,10,0.52,12900000,Sebastián Marinsek (11) | Evgeniy Ermolin (11) | José Luis Seco (11),11. Argentine Antarctic Institute > Departamento de Glaciología,WGMS (2017): GGCB No. 2 (2014-2015),
AQ,BAHIA DEL DIABLO,2665,,2016,combined,2015-03-01,0.0,,,2016-02-28,0.0,,,,,-0.561,,on,430,10,0.3,12900000,Sebastián Marinsek (11) | José Luis Seco (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,
AQ,BAHIA DEL DIABLO,2665,,2017,combined,2016-03-01,0.0,,,2017-02-28,0.0,,,,,-0.38,,on,480,,0.28,,Sebastián Marinsek (11) | José Luis Seco (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,
AQ,BAHIA DEL DIABLO,2665,,2018,combined,2017-03-01,0.0,,,2018-02-28,0.0,,,,,-0.13,0.03,on,350,10,0.59,12900000,Sebastián Marinsek (11) | José Luis Seco (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,
AQ,BAHIA DEL DIABLO,2665,,2019,fixed,,,,,,,,,,,-0.04,,on,340,,0.6,12900000,Sebastián Marinsek (11) | José Luis Seco (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,Areas assumed from previous years.
AQ,BAHIA DEL DIABLO,2665,,2020,combined,2019-03-01,0.0,,,2020-02-29,0.0,,,,,-0.4,0.03,on,450,10,0.25,12870000,Sebastián Marinsek (11) | José Luis Seco (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,
AQ,BAHIA DEL DIABLO,2665,,2021,combined,2020-03-01,0.0,,,2021-02-28,0.0,,,,,-0.74,0.03,on,500,10,0.27,12870000,Sebastián Marinsek (11) | José Luis Seco (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,
AQ,BAHIA DEL DIABLO,2665,,2022,combined,2021-03-01,0.0,,,2022-02-28,0.0,,,,,-0.291,0.03,on,360,10,0.46,12880000,Sebastián Marinsek (11) | José Luis Seco (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,
AQ,BAHIA DEL DIABLO,2665,,2023,combined,2022-03-01,0.0,,,2023-02-28,0.0,,,,,-1.03,0.1,,550,10,0.07,12810000,Sebastián Marinsek (11) | Liliana Margonari (11) | Carla Puigdomenech (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,
AQ,BAHIA DEL DIABLO,2665,,2024,fixed,2023-03-01,2.0,,,2024-02-29,2.0,,,,,-0.26,0.1,on,375,10,0.2,12757000,Sebastián Marinsek (11) | Carla Puigdomenech (11) | Liliana Margonari (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,
AQ,BELLINGSHAUSEN,6833,,1992,,1991-07-02,182.0,,,1992-07-01,182.5,,,,,0.163,,,,,,,,,"[Data from] Cogley (2008, updated 2013) | [based on] Wen et al. (1998); Annals of Glaciology, 27, 105-109 p",
AQ,BELLINGSHAUSEN,6833,,2008,,2007-07-02,182.0,,,2008-07-01,182.5,0.654,,-0.736,,-0.082,,,225,,,11020000,B. R. Mavlyudov (483),483. Russian Academy of Sciences > Institute of Geography,"Mavlyudov, B.R., Led i Sneg, 1(125), 2014",Time system unknown
AQ,BELLINGSHAUSEN,6833,,2009,,2008-07-01,182.5,,,2009-07-02,182.0,0.565,,-1.259,,-0.694,,,225,,,11020000,B. R. Mavlyudov (483),483. Russian Academy of Sciences > Institute of Geography,"Mavlyudov, B.R., Led i Sneg, 1(125), 2014",Time system unknown
AQ,BELLINGSHAUSEN,6833,,2010,,2009-07-02,182.0,,,2010-07-02,182.0,0.801,,-0.426,,0.375,,,0,,,11020000,B. R. Mavlyudov (483),483. Russian Academy of Sciences > Institute of Geography,"Mavlyudov, B.R., Led i Sneg, 1(125), 2014",Time system unknown
AQ,BELLINGSHAUSEN,6833,,2011,,2010-07-02,182.0,,,2011-07-02,182.0,1.023,,-0.941,,0.093,,,180,,,11020000,B. R. Mavlyudov (483),483. Russian Academy of Sciences > Institute of Geography,"Mavlyudov, B.R., Led i Sneg, 1(125), 2014",Time system unknown
AQ,BELLINGSHAUSEN,6833,,2012,,2011-07-02,182.0,,,2012-07-01,182.5,0.71,,-1.139,,-0.429,,,220,,,11020000,B. R. Mavlyudov (483),483. Russian Academy of Sciences > Institute of Geography,"Mavlyudov, B.R., Led i Sneg, 1(125), 2014",Time system unknown
