country,glacier_name,glacier_id,year,lower_elevation,upper_elevation,area,winter_balance,winter_balance_unc,summer_balance,summer_balance_unc,annual_balance,annual_balance_unc,remarks
AQ,BAHIA DEL DIABLO,2665,2000,38,112,,,,,,-2.3,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2000,112,188,,,,,,-1.65,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2000,188,262,,,,,,-1.25,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2000,262,338,,,,,,-0.68,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2000,338,412,,,,,,-0.25,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2000,412,488,,,,,,0.08,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2000,488,562,,,,,,0.28,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2000,562,638,,,,,,0.05,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2001,38,112,,,,,,-1,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2001,112,188,,,,,,-0.6,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2001,188,262,,,,,,-0.25,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2001,262,338,,,,,,-0.26,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2001,338,412,,,,,,0,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2001,412,488,,,,,,0.33,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2001,488,562,,,,,,0.32,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2001,562,638,,,,,,0.22,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2002,38,112,,,,,,-2.8,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2002,112,188,,,,,,-1.55,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2002,188,262,,,,,,-0.75,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2002,262,338,,,,,,-0.75,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2002,338,412,,,,,,-0.3,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2002,412,488,,,,,,0.05,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2002,488,562,,,,,,0.13,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2002,562,638,,,,,,-0.05,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2003,38,112,,,,,,-1.3,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2003,112,188,,,,,,-0.75,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2003,188,262,,,,,,-0.225,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2003,262,338,,,,,,-0.3,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2003,338,412,,,,,,-0.05,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2003,412,488,,,,,,0.14,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2003,488,562,,,,,,0.25,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2003,562,638,,,,,,0.075,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2004,38,112,,,,,,-1.4,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2004,112,188,,,,,,-0.7,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2004,188,262,,,,,,-0.3,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2004,262,338,,,,,,-0.25,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2004,338,412,,,,,,-0.025,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2004,412,488,,,,,,0.15,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2004,488,562,,,,,,0.3,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2004,562,638,,,,,,0.125,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2005,38,112,,,,,,-1.7,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2005,112,188,,,,,,-0.9,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2005,188,262,,,,,,-0.45,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2005,262,338,,,,,,-0.35,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2005,338,412,,,,,,-0.1,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2005,412,488,,,,,,0.1,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2005,488,562,,,,,,0.225,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2005,562,638,,,,,,0.05,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2006,38,112,,,,,,-2.3,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2006,112,188,,,,,,-1.65,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2006,188,262,,,,,,-0.85,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2006,262,338,,,,,,-0.55,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2006,338,412,,,,,,-0.35,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2006,412,488,,,,,,0.05,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2006,488,562,,,,,,0.125,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2006,562,638,,,,,,-0.05,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2007,38,112,,,,,,-1.4,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2007,112,188,,,,,,-1,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2007,188,262,,,,,,-0.55,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2007,262,338,,,,,,-0.25,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2007,338,412,,,,,,0,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2007,412,488,,,,,,0.15,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2007,488,562,,,,,,0.5,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2007,562,638,,,,,,0.2,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2008,38,112,,,,,,-2.3,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2008,112,188,,,,,,-1.5,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2008,188,262,,,,,,-0.65,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2008,262,338,,,,,,-0.4,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2008,338,412,,,,,,-0.25,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2008,412,488,,,,,,0.05,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2008,488,562,,,,,,0.075,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2008,562,638,,,,,,-0.04,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2009,38,112,,,,,,-2,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2009,112,188,,,,,,-1.7,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2009,188,262,,,,,,-1.2,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2009,262,338,,,,,,-0.6,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2009,338,412,,,,,,-0.1,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2009,412,488,,,,,,0.3,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2009,488,562,,,,,,0.45,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2009,562,638,,,,,,0.325,,Balance based on old area.
AQ,BAHIA DEL DIABLO,2665,2010,38,112,,,,,,0,,"Value has been revised according to new glacier area (Marinsek, 2013)."
AQ,BAHIA DEL DIABLO,2665,2010,112,188,,,,,,0.2,,"Value has been revised according to new glacier area (Marinsek, 2013)."
AQ,BAHIA DEL DIABLO,2665,2010,188,262,,,,,,0.1,,"Value has been revised according to new glacier area (Marinsek, 2013)."
AQ,BAHIA DEL DIABLO,2665,2010,262,338,,,,,,0.3,,"Value has been revised according to new glacier area (Marinsek, 2013)."
