id,name,surname,original_name,synonyms,orcid,url,birth_year,death_year,remarks
0,Jostein Aasen,Aasen,,,,,,,
2,Jakob Abermann,Abermann,,,0000-0003-1285-1868,,,,
1586,Andrey Andreevich Abramov,Abramov,Андрей Андреевич Абрамов,Andrey Abramov,0000-0002-3602-1159,http://www.igras.ru/staff/3828,,,
3,C. Acuna,Acuna,,,,,,,
4,Indriði Aðalsteinsson,Aðalsteinsson,,,,,,,
6,Artur Adamek,Adamek,,,,,,,
7,Antoni Adamowski,Adamowski,,,,,,,
9,M. Aellen,Aellen,,,,,,,
1569,Ulrich Aerne,Aerne,,,,,,,
10,Debora Affer,Affer,,,,,,,
11,Ageta Yutaka,Ageta,上田 豊,,,https://nrid.nii.ac.jp/ja/nrid/1000080091164/,,,
12,Hans W. Ahlmann,Ahlmann,,,,,,,
13,Andreas Peter Ahlstrøm,Ahlstrøm,,,0000-0001-8235-8070,,,,
15,Helmut Aigelsreiter,Aigelsreiter,,,,,,,
16,Abdrakhman Ajikeev,Ajikeev,Абдрахман Ажикеев,Abdrahman Ajikeev | Abdyrahman Ajykeev,,,,,
17,Alberto Albertelli,Albertelli,,,,,,,
18,Andrea Alberti,Alberti,,,,,,,
19,Giuseppe Alberti,Alberti,,,,,,,
20,Silvio Alberti,Alberti,,,,,,,
21,Simona Alberti,Alberti,,,,,,,
22,Paolo Alberto,Alberto,,,,,,,
23,Walter Alberto,Alberto,,,,,,,
24,Jürg Alean,Alean,,,,,,,
1601,Mattia Alessi,Alessi,,,,,,,
26,Alexander A. Aleynikov,Aleynikov,,Alexander Aleynikov,,,,,
27,Eli Alfnes,Alfnes,,,,,,,
29,Andrea Almasio,Almasio,,,,,,,
1591,Andrea Amormino,Amormino,,,,,,,
31,Manuel Ancízar,Ancízar,,,,https://en.wikipedia.org/wiki/Manuel_Anc%C3%ADzar,1812,1882,
33,Urs Andenmatten,Andenmatten,,,,,,,
34,M. L. Andersen,Andersen,,,,,,,
35,Brian Anderson,Anderson,,,,,,,
36,Liss Marie Andreassen,Andreassen,,Liss M. Andreassen,,https://www.nve.no/vann-og-vassdrag/vannets-kretsloep/vaare-forskere/liss-marie-andreassen/,,,
37,Thupstan Angchuk,Angchuk,,,0000-0003-2129-8216,,,,
1593,Anna Angelino,Angelino,,,,,,,
38,Hans Angerer,Angerer,,,,,,,
40,Beat Annen,Annen,,,,,,,
41,Osvaldo Antonietti,Antonietti,,,,,,,
42,Luca Antonini,Antonini,,,,,,,
43,Anthony Arendt,Arendt,,,0000-0003-0429-6905,,,,
44,Miguel Arenillas,Arenillas,,,,,,,
45,Benito Arervo,Arervo,,,,,,,
47,Ernesto Armando,Armando,,,,,,,
48,Francesco Armiento,Armiento,,,,,,,
1559,Ingimar Árnason,Árnason,,,,,,,
50,Yves Arnaud,Arnaud,,,0000-0003-0344-4347,,,,
51,Anton Arnold,Arnold,,,,,,,
52,Luca Arzuffi,Arzuffi,,,,,,,
53,Peter Aschilier,Aschilier,,,,,,,
54,Kristen Åsen,Åsen,,,,,,,
55,Sigbjørn Åsen,Åsen,,,,,,,
56,Benito Aservo,Aservo,,,,,,,
57,Páll Ásgeir Ásgeirsson,Ásgeirsson,,,,,,,
58,Alain Assier,Assier,,,,,,,
59,G. Atterås,Atterås,,,,,,,
60,Ingeborg Auer,Auer,,,,,,,
61,Ines Aust,Aust,,,,,,,
1534,Álvaro Ayala,Ayala,,,,,,,
62,Mohd. Farooq Azam,Azam,,,,,,,
1613,Abdykhman Azhikeev,Azhikeev,,,,,,,
63,Erlan Azisovich Azisov,Azisov,Эрлан Азисович Азисов,Erlan Azisov,,https://www.caiag.kg/ky/b-l-md-r/2-b-l-m-klimat-suu-zhana-zharatylysh-resurstary-b-l-m/kyzmatkerler/364-erlan,,,
64,Roberto Sergio Azzoni,Azzoni,,,0000-0002-5931-486X,,,,
66,Matthew Bachmann,Bachmann,,,,,,,
68,Rasul-Akhun Baikhadzhaev,Baikhadzhaev,,,,,,,
1443,Birendra Bajracharya,Bajracharya,,,0000-0002-9272-2152,,,,
1532,Emily Baker,Baker,,,0000-0002-0938-3496,https://www.usgs.gov/staff-profiles/emily-baker,,,
70,Dag Inge Bakke,Bakke,,,,,,,
1585,Jostein Bakke,Bakke,,,,,,,
73,Jacqueline Bannwart,Bannwart,,Jacqueline Huber,,,,,Changed surname from Huber to Bannwart after marriage
1472,Ezio Baraldo,Baraldo,,,,,,,
74,Christian Barandun,Barandun,,,,,,,
75,Martina Barandun,Barandun,,,0000-0003-1820-7600,,,,
76,Andrea Barbolla,Barbolla,,,,,,,
77,Gonzalo Barcaza,Barcaza,,,,,,,
78,Emma Barfod,Barfod,,,,,,,
1471,Andrea Barilli,Barilli,,,,,,,
79,Giuseppe Barison,Barison,,,,,,,
80,Marcel Barmaz,Barmaz,,,,,,,
1501,Jamie Barnett,Barnett,,,0000-0002-8982-0034,,,,
82,Nicholas Barrand,Barrand,,,0000-0003-4428-1863,,,,
83,Andrea Barrueto,Barrueto,,,,,,,
85,Hassan Basagic,Basagic,,,,,,,
88,Paolo Battaglia,Battaglia,,,,,,,
89,Andreas Bauder,Bauder,,,0000-0001-7197-7706,,,,
90,Carlo Bazhev,Bazhev,,,,,,,
91,Thomas Bearth,Bearth,,,,,,,
92,Matthew Beedle,Beedle,,,,,,,
1564,Annabarbara Beilstein,Beilstein,,,,,,,
93,Joaquín M. C. Belart,Belart,,,0000-0002-0853-8935,,,,
94,Sultanbek Belekov,Belekov,,,,,,,
95,Sergio Bellagamba,Bellagamba,,,0000-0002-4295-0704,,,,
96,Dario Bellingeri,Bellingeri,,,,,,,
1505,Ignaz Bellwald,Bellwald,,,,,,,
97,Giovanni Benetton,Benetton,,,,,,,
98,Stefano Benetton,Benetton,,,,,,,
100,Andreina Bera,Bera,,,,,,,
101,Flavio Berbenni,Berbenni,,,,,,,
102,Gilbert Berchier,Berchier,,,,,,,
103,Halvard Berg,Berg,,,,,,,
104,Ole Berge,Berge,,,,,,,
105,Jorge Berkhoff,Berkhoff,,,,,,,
106,Éric Bernard,Bernard,,,,,,,
108,Etienne Berthier,Berthier,,,0000-0001-5978-9155,,,,
109,Ivan Bertinotti,Bertinotti,,,,,,,
110,Valerio Bertoglio,Bertoglio,,,,,,,
111,Stefano Bertoldi,Bertoldi,,,,,,,
1615,Giulia Bertolotti,Bertolotti,,,,,,,
1426,Elena Bertoni,Bertoni,,,,,,,
1464,Elisa Bertoni,Bertoni,,,,,,,
112,Gianluca Bertoni,Bertoni,,,,,,,
113,Stefania Bertotto,Bertotto,,,,,,,
114,Stéphanie Béthaz,Béthaz,,,,,,,
115,Marco Bettio,Bettio,,,,,,,
116,Simone Bettola,Bettola,,,,,,,
117,Manuele Bettoni,Bettoni,,,,,,,
1506,A. Bezinge,Bezinge,,,,,,,
118,Roberto Bezzi,Bezzi,,,,,,,
119,William R. Bidlake,Bidlake,,,,,,,
120,Claudia Bieler,Bieler,,,,,,,
121,Daniel Binder,Binder,,,0000-0002-9939-688X,,,,
123,Jacques Binggeli,Binggeli,,,,,,,
125,Mario Bizel,Bizel,,,,,,,
126,A. Bjoerk,Bjoerk,,,,,,,
127,Anders Bjørkahaug,Bjørkahaug,,Anders Bjørkehaug,,,,,
129,Flosi Björnsson,Björnsson,,,,,,,
128,Helgi Björnsson,Björnsson,,,0000-0001-5362-1474,,,,
132,Malgorzata Blaszczyk,Blaszczyk,,,,,,,
134,Martin Blum,Blum,,,,,,,
135,Ad Blümcke,Blümcke,,,,,,,
1432,Paolo Boccabella,Boccabella,,,,,,,
136,J. Bodart,Bodart,,,,,,,
139,Reinhard Böhm,Böhm,,,,,,,
140,Tobias Bolch,Bolch,,,0000-0002-8201-5059,,,,
141,Alessia Bolis,Bolis,,,,,,,
1533,Katherine Bollen,Bollen,,Kate Bollen,,,,,
142,Luca Bolognini,Bolognini,,,,,,,
144,Barbara Bonantoni,Bonantoni,,,,,,,
145,Luca Bonardi,Bonardi,,,,,,,
1595,Claudia Bonazza,Bonazza,,,,,,,
146,Luigi Bonetti,Bonetti,,,,,,,
147,Mylène Bonnefoy,Bonnefoy,,,,,,,
148,Aldo Borghi,Borghi,,,,,,,
149,Zbigniew Borkowski,Borkowski,,,,,,,
150,Stefano Borney,Borney,,,,,,,
151,Piero Borre,Borre,,,,,,,
152,H. Bösch,Bösch,,,,,,,
153,Gianna Bosio,Bosio,,,,,,,
155,Thierry Bossard,Bossard,,,,,,,
156,Giachem Bott,Bott,,,,,,,
157,Frédéric Bourban,Bourban,,,,,,,
158,Olivier Bourdin,Bourdin,,,,,,,
159,M. Bouvier,Bouvier,,,,,,,
160,Jade Bowling,Bowling,,,0000-0002-9476-4815,,,,
1401,Terje Bøyum,Bøyum,,,,,,,
161,Giovanni Bracotto,Bracotto,,,,,,,
163,Thomas Brandes,Brandes,,,,,,,
164,Ludwig N. Braun,Braun,,,,,,,
165,Matthias Braun,Braun,,,0000-0001-5169-1567,,,,
168,Alban Brigger,Brigger,,,,,,,
172,Anders Briksdal,Briksdal,,,,,,,
174,Dagrunn Briksdal,Briksdal,,,,,,,
170,Erling Briksdal,Briksdal,,,,,,,
173,Olav Briksdal,Briksdal,,,,,,,
171,Ruben Briksdal,Briksdal,,,,,,,
175,J. D. Brodard,Brodard,,,,,,,
177,Francesca Broz,Broz,,,,,,,
1567,Michel Brügger,Brügger,,,,,,,
179,Fanny Brun,Brun,,,0000-0001-6607-0667,,,,
180,K. Brunner,Brunner,,,,,,,
1405,Laura Brunner,Brunner,,,,,,,
181,Jürg Brunold,Brunold,,,,,,,
182,David Brus,Brus,,,0000-0002-8766-7873,,,,
1497,Federica Bruschi,Bruschi,,,,,,,
183,Pietro Bruschi,Bruschi,,,,,,,
186,Hilmar Jón Brynjólfsson,Brynjólfsson,,,,,,,
184,Skafti Brynjólfsson,Brynjólfsson,,,0000-0002-2792-1964,,,,
185,Sveinn Brynjólfsson,Brynjólfsson,,,,,,,
187,Norbert Bschaden,Bschaden,,,,,,,
188,Christian Buchli,Buchli,,,,,,,
190,Jørgen Buer,Buer,,,,,,,
189,May Britt Buer,Buer,,,,,,,
191,Franco Buglio,Buglio,,,,,,,
192,Daniela Bulanti,Bulanti,,,,,,,
193,Ueli Burgener,Burgener,,,,,,,
194,David O. Burgess,Burgess,,David Burgess,,,,,
196,Irina Bushueva,Bushueva,,,0000-0002-8324-4822,,,,
197,Mario Butti,Butti,,,,,,,
198,Gabriel Alberto Cabrera Gioia,Cabrera Gioia,,,,,,,
199,Bolívar Ernesto Cáceres Correa,Cáceres Correa,,,0000-0002-2013-057X,,,,
202,Tiziano Caira,Caira,,,,,,,
203,Sergio Camargo,Camargo,,,,,,,
204,Flavio Cambieri,Cambieri,,,,,,,
205,Chiara Caminada,Caminada,,,,,,,
207,Cao Bo,Cao,曹泊,,0000-0002-9235-859X,,,,
206,Cao Min,Cao,曹敏,,,,,,
208,Camilla Cappelletti,Cappelletti,,,,,,,
209,David Cappelletti,Cappelletti,,,0000-0002-9652-2457,,,,
210,Paolo Caprara,Caprara,,,,,,,
211,Valter Carbone,Carbone,,,,,,,
1542,Yerelin Cárcamo,Cárcamo,,,,,,,
213,J. R. Carr,Carr,,,,,,,
1479,Daniela Carrión,Carrión,,,,,,,
214,Jonathan L. Carrivick,Carrivick,,,,,,,
216,Luca Carturan,Carturan,,,0000-0003-2134-2686,,,,
217,Roberto Casagrande,Casagrande,,,,,,,
218,Giacomo Casartelli,Casartelli,,,,,,,
219,Gino Casassa,Casassa,,,0000-0002-7888-071X,,,,
220,Chris Caseldine,Caseldine,,,,,,,
221,Andrea Cassina,Cassina,,,,,,,
1404,Iris Castelberg,Castelberg,,,,,,,
222,Alejandro Casteller,Casteller,,,,,,,
224,Guido Catasta,Catasta,,,,,,,
223,Daniele Cat Berro,Cat Berro,,,,,,,
1558,Flurin Cathomas,Cathomas,,,,,,,
225,Jorge Luis Ceballos Liévano,Ceballos Liévano,,Jorge Luis Ceballos,,,,,
227,Stefano Cerise,Cerise,,,,,,,
230,Cristiana Cerrato,Cerrato,,,,,,,
231,Augusta Vittoria Cerutti,Cerutti,,,,,,,
233,Marco Cesco Cancian,Cesco Cancian,,,,,,,
234,Jean-Jacques Chabloz,Chabloz,,,,,,,
237,Piotr Aleksandrovich Cherkasov,Cherkasov,,,,,,,
238,Robert Chernov,Chernov,,,0000-0003-4186-2769,,,,
239,Vincent Cherpillod,Cherpillod,,,,,,,
