country,glacier_name,glacier_id,outline_id,id,date,date_unc,highest_elevation,lowest_elevation,mean_elevation,elevation_unc,area,area_unc,length,length_unc,terminus_type,platform,method,investigators,agencies,references,remarks
AF,PIR YAKH,10452,,10470,2018-07-02,182.0,5070,4400,,,1680000,,2100,,,,,Abeer Ahmad Sajood (2) | Arian Hedayatullah,2. Kabul University > Faculty of Geoscience > Department of Hydrometeorology,,Information derived from field report.
AQ,ADAMS,885,,5944,1989-07-02,182.0,,,,,5730000,,10000,,,,,,,WGMS (1993): FoG 1985-1990 (Vol. VI),
AQ,ADAMS,885,,5945,1990-07-02,182.0,1200,370,,,,,,,,,,,,WGMS (1993): FoG 1985-1990 (Vol. VI),
AQ,ALBERICH,1062,,6299,1975-07-02,182.0,1800,1400,1560,,1360000,,1300,,,,,,,,[flag] mean_elevation: Originally submitted as median elevation
AQ,ASTROLABE,3354,,8311,1947-07-02,182.0,,,,,83500000,,,,,,,,,,
AQ,ASTROLABE,3354,,8312,1963-07-02,182.0,,,,,75000000,,,,,,,,,,
AQ,ASTROLABE,3354,,8313,1973-07-02,182.0,,,,,78900002,,,,,,,,,,
AQ,ASTROLABE,3354,,8314,1985-07-02,182.0,,,,,70000000,,,,,,,,,,
AQ,ASTROLABE,3354,,8315,1989-07-02,182.0,,,,,70750000,,,,,,,,,,
AQ,BAHIA DEL DIABLO,2665,,7479,2004-02-01,0.0,630,50,390,1,,,7600,10,,other,other,Pedro Skvarca (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,Survey method: Combination of geodetic ground survey and GPS survey | [flag] mean_elevation: Originally submitted as median elevation
AQ,BAHIA DEL DIABLO,2665,,10776,2006-01-07,0.0,,,,,,,,,land,,,,,"Marinsek, S., & Ermolin, E. (2015). 10 year mass balance by glaciological and geodetic methods of Glaciar Bahía del Diablo, Vega Island, Antarctic Peninsula. Annals of Glaciology, 56(70), 141-146. https://doi.org/10.3189/2015AoG70A958",
AQ,BAHIA DEL DIABLO,2665,,7480,2008-07-01,182.5,,,,,14300000,,,,,,,Pedro Skvarca | Evgeniy Ermolin | Sebastián Marinsek,,,
AQ,BAHIA DEL DIABLO,2665,,7481,2010-02-28,0.0,630,50,390,1,14300000,,7600,10,,other,other,Pedro Skvarca (11) | Evgeniy Ermolin (11) | Sebastián Marinsek (11),11. Argentine Antarctic Institute > Departamento de Glaciología,WGMS (2012): FoG 2005-2010 (Vol. X),Survey method: Combination of geodetic ground survey and GPS survey | [flag] mean_elevation: Originally submitted as median elevation
AQ,BAHIA DEL DIABLO,2665,,7482,2014-03-01,0.0,630,50,390,1,12900000,230000,7600,10,,other,direct,Evgeniy Ermolin (11) | Sebastián Marinsek (11) | José Luis Seco (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,Survey method: Combination of geodetic ground survey and GPS survey with satellite images and DEMs | [flag] mean_elevation: Originally submitted as median elevation
AQ,BAHIA DEL DIABLO,2665,,7483,2015-02-26,0.0,630,50,390,1,12900000,230000,7600,10,,other,other,Sebastián Marinsek (11) | José Luis Seco (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,Survey method: Combination of geodetic ground survey and GPS survey with satellite images and DEMs | [flag] mean_elevation: Originally submitted as median elevation
AQ,BAHIA DEL DIABLO,2665,,7484,2016-02-28,0.0,630,50,390,1,12900000,230000,7600,10,,other,direct,Sebastián Marinsek (11) | José Luis Seco (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,Survey method: Combination of geodetic ground survey and GPS survey with satellite images and DEMs | [flag] mean_elevation: Originally submitted as median elevation
AQ,BAHIA DEL DIABLO,2665,,10594,2020-07-01,182.5,630,50,390,1,12900000,200000,7600,10,,other,other,Sebastián Marinsek (11) | José Luis Seco (11) | Evgeniy Ermolin (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,Survey method: Combination of geodetic ground survey and GPS survey with satellite images and DEMs | [flag] mean_elevation: Originally submitted as median elevation
AQ,BAHIA DEL DIABLO,2665,,8576,2023-02-28,0.0,630,50,390,1,12810000,200000,7500,10,,other,other,Sebastián Marinsek (11) | Liliana Margonari (11) | Carla Puigdomenech (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,Survey method: Combination of geodetic ground survey and GPS survey with satellite images and DEMs | [flag] mean_elevation: Originally submitted as median elevation
AQ,BAHIA DEL DIABLO,2665,,11135,2024-02-29,2.0,630,50,390,1,12757000,1000,7500,1,land,other,other,Sebastián Marinsek (11) | Carla Puigdomenech (11) | Liliana Margonari (11),11. Argentine Antarctic Institute > Departamento de Glaciología,,method: Combination of geodetic ground survey and GPS survey with satellite images and DEMs
AQ,BARRE,3355,,8316,1947-07-02,182.0,,,,,6100000,,,,,,,,,,
AQ,BARRE,3355,,8317,1963-07-02,182.0,,,,,5250000,,,,,,,,,,
AQ,BARRE,3355,,8318,1973-07-02,182.0,,,,,4350000,,,,,,,,,,
AQ,BARRE,3355,,8319,1985-07-02,182.0,,,,,2100000,,,,,,,,,,
AQ,BARRE,3355,,8320,1989-07-02,182.0,,,,,4500000,,,,,,,,,,
AQ,BARRE,3355,,8321,1996-07-01,182.5,,,,,7900000,,,,,,,,,,
AQ,BARTLEY,893,,5882,1970-07-02,182.0,,,1350,,,,12500,,,,,,,,[flag] mean_elevation: Originally submitted as median elevation
AQ,BARTLEY,893,,5883,1975-07-02,182.0,2000,220,,,,,,,,,,,,,
AQ,BELLINGSHAUSEN,6833,,10754,2012-07-01,182.5,250,0,,,,,4000,,,space,radar,,,"Mavlyudov, B.R., Led i Sneg, 1(125), 2014",
AQ,BIRLEY,4515,,8903,2006-07-02,182.0,,,,,17299999,,,,,air,photo,,,"Kunz M, King M.A., Mills J.P., Miller P.E., Fox A.J., Vaughan D.G. & Marsh S.H. (2012). Multi-decadal glacier surface lowering in the Antarctic Peninsula. Geophysical Research Letters, 39, L19502",
AQ,BYRD STATION,1064,,6301,1975-07-02,182.0,,,,,480000000,,,,,,,,,,
AQ,CANADA,877,,5931,1977-07-02,182.0,1800,50,750,,,,12100,,,,,,,,[flag] mean_elevation: Originally submitted as median elevation
AQ,CLARK CPI,894,,5884,1970-07-02,182.0,1790,460,850,,,,10500,,,,,,,,[flag] mean_elevation: Originally submitted as median elevation
AQ,COLEY GLACIER,4247,,8681,2001-07-02,182.0,1273,13,501,,129399990,,16000,,,,,,,,Data from Leclercq. | [flag] mean_elevation: Originally submitted as median elevation
AQ,COMMANDANT CHARCOT,3356,,8322,1947-07-02,182.0,,,,,51049999,,,,,,,,,,
AQ,COMMANDANT CHARCOT,3356,,8323,1963-07-02,182.0,,,,,77349998,,,,,,,,,,
AQ,COMMANDANT CHARCOT,3356,,8324,1973-07-02,182.0,,,,,37000000,,,,,,,,,,
AQ,COMMANDANT CHARCOT,3356,,8325,1989-07-02,182.0,,,,,33750000,,,,,,,,,,
AQ,COMMANDANT CHARCOT,3356,,8326,1996-07-01,182.5,,,,,32799999,,,,,,,,,,
AQ,COMMONWEALTH,878,,5932,1977-07-02,182.0,1750,25,750,,,,14500,,,,,,,,[flag] mean_elevation: Originally submitted as median elevation
AQ,COMMONWEALTH,878,,5933,2013-07-02,182.0,1200,50,,,52200001,,,,,,,,,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",
AQ,DAVIES DOME,10404,,10414,1979-07-02,182.0,,,,,6230000,50000,,,,,,"Z. Engel (172, 171) | D. Nývlt (172, 171) | K. Láska (172, 171)",171. Charles University > Department of Physical Geography and Geoecology | 172. Czech Geological Survey,"Engel et al. (2012), Journal of Glaciology, Vol. 58, No. 211, doi: 10.3189/2012JoG11J156",
AQ,DAVIES DOME,10404,,10415,2006-07-02,182.0,515,124,368,1,4940000,10000,3430,,,other,other,"Z. Engel (172, 171) | D. Nývlt (172, 171) | K. Láska (172, 171)",171. Charles University > Department of Physical Geography and Geoecology | 172. Czech Geological Survey,"Engel et al. (2012), Journal of Glaciology, Vol. 58, No. 211, doi: 10.3189/2012JoG11J156",area of whole Davies Dome including outlet glacier = 6.49 +/- 0.01 km2 | [flag] mean_elevation: Originally submitted as median elevation
AQ,DIBBLE,3357,,8327,1963-07-02,182.0,,,,,1612000000,,,,,,,,,,
AQ,DIBBLE,3357,,8328,1973-07-02,182.0,,,,,1580000000,,,,,,,,,,
