country,glacier_name,glacier_id,state_id,lower_elevation,upper_elevation,mean_elevation,elevation_unc,area,area_unc,remarks
AR,BROWN SUPERIOR,3903,8627,4920,4930,,,743,,
AR,BROWN SUPERIOR,3903,8627,4930,4940,,,4234,,
AR,BROWN SUPERIOR,3903,8627,4940,4950,,,5051,,
AR,BROWN SUPERIOR,3903,8627,4950,4960,,,7428,,
AR,BROWN SUPERIOR,3903,8627,4960,4970,,,7205,,
AR,BROWN SUPERIOR,3903,8627,4970,4980,,,7800,,
AR,BROWN SUPERIOR,3903,8627,4980,4990,,,9434,,
AR,BROWN SUPERIOR,3903,8627,4990,5000,,,9211,,
AR,BROWN SUPERIOR,3903,8627,5000,5010,,,9656,,
AR,BROWN SUPERIOR,3903,8627,5010,5020,,,11440,,
AR,BROWN SUPERIOR,3903,8627,5020,5030,,,11513,,
AR,BROWN SUPERIOR,3903,8627,5030,5040,,,13445,,
AR,BROWN SUPERIOR,3903,8627,5040,5050,,,14188,,
AR,BROWN SUPERIOR,3903,8627,5050,5060,,,15822,,
AR,BROWN SUPERIOR,3903,8627,5060,5070,,,15748,,
AR,BROWN SUPERIOR,3903,8627,5070,5080,,,14262,,
AR,BROWN SUPERIOR,3903,8627,5080,5090,,,15970,,
AR,BROWN SUPERIOR,3903,8627,5090,5100,,,17085,,
AR,BROWN SUPERIOR,3903,8627,5100,5110,,,19759,,
AR,BROWN SUPERIOR,3903,8627,5110,5120,,,19239,,
AR,BROWN SUPERIOR,3903,8627,5120,5130,,,12479,,
AR,BROWN SUPERIOR,3903,8627,5130,5140,,,10028,,
AR,BROWN SUPERIOR,3903,8627,5140,5150,,,9062,,
AR,BROWN SUPERIOR,3903,8627,5150,5160,,,8171,,
AR,BROWN SUPERIOR,3903,8627,5160,5170,,,3640,,
AR,BROWN SUPERIOR,3903,8629,4950,4960,,,1548,,
AR,BROWN SUPERIOR,3903,8629,4960,4970,,,2279,,
AR,BROWN SUPERIOR,3903,8629,4970,4980,,,4033,,
AR,BROWN SUPERIOR,3903,8629,4980,4990,,,4789,,
AR,BROWN SUPERIOR,3903,8629,4990,5000,,,5978,,
AR,BROWN SUPERIOR,3903,8629,5000,5010,,,9847,,
AR,BROWN SUPERIOR,3903,8629,5010,5020,,,12852,,
AR,BROWN SUPERIOR,3903,8629,5020,5030,,,13056,,
AR,BROWN SUPERIOR,3903,8629,5030,5040,,,14564,,
AR,BROWN SUPERIOR,3903,8629,5040,5050,,,11711,,
AR,BROWN SUPERIOR,3903,8629,5050,5060,,,11983,,
AR,BROWN SUPERIOR,3903,8629,5060,5070,,,14719,,
AR,BROWN SUPERIOR,3903,8629,5070,5080,,,17431,,
AR,BROWN SUPERIOR,3903,8629,5080,5090,,,19186,,
AR,BROWN SUPERIOR,3903,8629,5090,5100,,,13865,,
AR,BROWN SUPERIOR,3903,8629,5100,5110,,,9791,,
AR,BROWN SUPERIOR,3903,8629,5110,5120,,,9502,,
AR,BROWN SUPERIOR,3903,8629,5120,5130,,,6397,,
AR,BROWN SUPERIOR,3903,8629,5130,5140,,,5931,,
AR,BROWN SUPERIOR,3903,8629,5140,5150,,,1897,,
AR,BROWN SUPERIOR,3903,8629,5150,5160,,,44,,
AR,CONCONTA NORTE,3902,8623,4910,4920,,,3194,,
AR,CONCONTA NORTE,3902,8623,4920,4930,,,10771,,
AR,CONCONTA NORTE,3902,8623,4930,4940,,,10994,,
AR,CONCONTA NORTE,3902,8623,4940,4950,,,10845,,
AR,CONCONTA NORTE,3902,8623,4950,4960,,,10919,,
AR,CONCONTA NORTE,3902,8623,4960,4970,,,9731,,
AR,CONCONTA NORTE,3902,8623,4970,4980,,,11439,,
AR,CONCONTA NORTE,3902,8623,4980,4990,,,11588,,
AR,CONCONTA NORTE,3902,8623,4990,5000,,,11439,,
AR,CONCONTA NORTE,3902,8623,5000,5010,,,10919,,
AR,CONCONTA NORTE,3902,8623,5010,5020,,,10473,,
AR,CONCONTA NORTE,3902,8623,5020,5030,,,10028,,
AR,CONCONTA NORTE,3902,8623,5030,5040,,,9582,,
AR,CONCONTA NORTE,3902,8623,5040,5050,,,10251,,
AR,CONCONTA NORTE,3902,8623,5050,5060,,,10697,,
AR,CONCONTA NORTE,3902,8623,5060,5070,,,10771,,
AR,CONCONTA NORTE,3902,8623,5070,5080,,,11291,,
AR,CONCONTA NORTE,3902,8623,5080,5090,,,13445,,
AR,CONCONTA NORTE,3902,8623,5090,5100,,,13445,,
AR,CONCONTA NORTE,3902,8623,5100,5110,,,12925,,
AR,CONCONTA NORTE,3902,8623,5110,5120,,,8839,,
AR,CONCONTA NORTE,3902,8623,5120,5130,,,4902,,
AR,CONCONTA NORTE,3902,8623,5130,5140,,,149,,
AR,CONCONTA NORTE,3902,8625,4930,4940,,,857,,
AR,CONCONTA NORTE,3902,8625,4940,4950,,,2377,,
AR,CONCONTA NORTE,3902,8625,4950,4960,,,2067,,
AR,CONCONTA NORTE,3902,8625,4960,4970,,,2104,,
